,sub,Accuracy,Time [ms]
0,0.0,0.4507042253521127,100.0
1,0.0,0.6056338028169014,200.0
2,0.0,0.6338028169014085,300.0
3,0.0,0.5774647887323944,400.0
4,0.0,0.6056338028169014,500.0
5,0.0,0.647887323943662,600.0
6,0.0,0.6197183098591549,700.0
7,0.0,0.6197183098591549,800.0
8,0.0,0.6619718309859155,900.0
9,0.0,0.6338028169014085,1000.0
10,0.0,0.5915492957746479,1100.0
11,0.0,0.647887323943662,1200.0
12,0.0,0.6901408450704225,1300.0
13,0.0,0.5352112676056338,1400.0
14,0.0,0.647887323943662,1500.0
15,0.0,0.5915492957746479,1600.0
16,0.0,0.5633802816901409,1700.0
17,0.0,0.5633802816901409,1800.0
18,0.0,0.6338028169014085,1900.0
19,0.0,0.6056338028169014,2000.0
20,0.0,0.5492957746478874,2100.0
21,0.0,0.49295774647887325,2200.0
22,0.0,0.5352112676056338,2300.0
23,0.0,0.5211267605633803,2400.0
24,0.0,0.5070422535211268,2500.0
25,0.0,0.4788732394366197,2600.0
26,0.0,0.5211267605633803,2700.0
27,0.0,0.5352112676056338,2800.0
28,0.0,0.5774647887323944,2900.0
29,0.0,0.5352112676056338,3000.0
30,0.0,0.4788732394366197,3100.0
31,0.0,0.5352112676056338,3200.0
32,0.0,0.5211267605633803,3300.0
33,0.0,0.5492957746478874,3400.0
34,0.0,0.5492957746478874,3500.0
35,1.0,0.6382978723404256,100.0
36,1.0,0.7021276595744681,200.0
37,1.0,0.6808510638297872,300.0
38,1.0,0.6595744680851063,400.0
39,1.0,0.723404255319149,500.0
40,1.0,0.7446808510638298,600.0
41,1.0,0.7659574468085106,700.0
42,1.0,0.7659574468085106,800.0
43,1.0,0.7659574468085106,900.0
44,1.0,0.7446808510638298,1000.0
45,1.0,0.6595744680851063,1100.0
46,1.0,0.6595744680851063,1200.0
47,1.0,0.7872340425531915,1300.0
48,1.0,0.7021276595744681,1400.0
49,1.0,0.6595744680851063,1500.0
50,1.0,0.6382978723404256,1600.0
51,1.0,0.5957446808510638,1700.0
52,1.0,0.574468085106383,1800.0
53,1.0,0.574468085106383,1900.0
54,1.0,0.6595744680851063,2000.0
55,1.0,0.6170212765957447,2100.0
56,1.0,0.5957446808510638,2200.0
57,1.0,0.574468085106383,2300.0
58,1.0,0.5957446808510638,2400.0
59,1.0,0.425531914893617,2500.0
60,1.0,0.5106382978723404,2600.0
61,1.0,0.46808510638297873,2700.0
62,1.0,0.44680851063829785,2800.0
63,1.0,0.48936170212765956,2900.0
64,1.0,0.5106382978723404,3000.0
65,1.0,0.425531914893617,3100.0
66,1.0,0.44680851063829785,3200.0
67,1.0,0.425531914893617,3300.0
68,1.0,0.44680851063829785,3400.0
69,1.0,0.46808510638297873,3500.0
70,2.0,0.6,100.0
71,2.0,0.55,200.0
72,2.0,0.625,300.0
73,2.0,0.625,400.0
74,2.0,0.65,500.0
75,2.0,0.65,600.0
76,2.0,0.7,700.0
77,2.0,0.65,800.0
78,2.0,0.6,900.0
79,2.0,0.6,1000.0
80,2.0,0.625,1100.0
81,2.0,0.5,1200.0
82,2.0,0.475,1300.0
83,2.0,0.5,1400.0
84,2.0,0.55,1500.0
85,2.0,0.5,1600.0
86,2.0,0.475,1700.0
87,2.0,0.525,1800.0
88,2.0,0.475,1900.0
89,2.0,0.475,2000.0
90,2.0,0.5,2100.0
91,2.0,0.575,2200.0
92,2.0,0.575,2300.0
93,2.0,0.575,2400.0
94,2.0,0.525,2500.0
95,2.0,0.525,2600.0
96,2.0,0.575,2700.0
97,2.0,0.575,2800.0
98,2.0,0.625,2900.0
99,2.0,0.5,3000.0
100,2.0,0.5,3100.0
101,2.0,0.45,3200.0
102,2.0,0.525,3300.0
103,2.0,0.425,3400.0
104,2.0,0.525,3500.0
105,3.0,0.525,100.0
106,3.0,0.475,200.0
107,3.0,0.4625,300.0
108,3.0,0.6125,400.0
109,3.0,0.6125,500.0
